駅数,事業者名,路線名,駅名,所在地,ホームの形状,設置ホーム（番線）,ホームドアの種別,設置年月,備考,,当該路線の設置状況
10,東急電鉄,目黒線,新丸子,神奈川県川崎市中原区,島式2面4線,2・3番線のみ,可動式ホーム柵,2000/08/01 00:00,,,
11,東急電鉄,目黒線,武蔵小杉,神奈川県川崎市中原区,島式2面4線,2・3番線,可動式ホーム柵,2000/08/01 00:00,○,,
12,東急電鉄,目黒線,元住吉,神奈川県川崎市中原区,島式2面6線,3・4番線,可動式ホーム柵,2008/06/01 00:00,,,
13,東急電鉄,目黒線,日吉,神奈川県横浜市港北区,島式2面4線,2・3番線のみ,可動式ホーム柵,2008/06/01 00:00,○,,
14,東急電鉄,大井町線,大井町,東京都品川区,島式1面2線,1・2番線,可動式ホーム柵,2012/03/01 00:00,○,,◎全駅
15,東急電鉄,大井町線,溝の口,神奈川県川崎市,島式2面4線,2・3番線,可動式ホーム柵,2016/04/01 00:00,○,,
16,東急電鉄,大井町線,緑が丘,東京都目黒区,相対式2面2線,1・2番線,可動式ホーム柵,2016/11/01 00:00,,,
17,東急電鉄,大井町線,尾山台,東京都世田谷区,相対式2面2線,1・2番線,可動式ホーム柵,2016/12/01 00:00,,,
18,東急電鉄,大井町線,中延,東京都品川区,相対式2面2線,1・2番線,可動式ホーム柵,2017/03/01 00:00,,,
19,東急電鉄,大井町線,上野毛,東京都世田谷区,島式1面3線,1・2番線,可動式ホーム柵,2017/04/01 00:00,,3番線ホームなし（通過線）,
20,東急電鉄,大井町線,荏原町,東京都品川区,相対式2面2線,1・2番線,可動式ホーム柵,2018/03/01 00:00,,,
21,東急電鉄,大井町線,九品仏,東京都世田谷区,島式1面2線,1・2番線,可動式ホーム柵,2018/09/01 00:00,,,
,東急電鉄,大井町線,二子玉川,東京都世田谷区,島式2面4線,2・3番線,可動式ホーム柵,2019/03/01 00:00,○,（参照）【東急田園都市線】,
,東急電鉄,大井町線,自由が丘,東京都目黒区,相対式2面2線,1・2番線,可動式ホーム柵,2019/03/01 00:00,○,（参照）【東急東横線】,
,東急電鉄,大井町線,大岡山,東京都大田区,島式2面4線,2・3番線,可動式ホーム柵,2019/04/01 00:00,,（参照）【東急目黒線】,
22,東急電鉄,大井町線,旗の台,東京都品川区,島式2面4線,3･4･5･6番線,可動式ホーム柵,2019/03/01 00:00,,1・2番線は未設置,
23,東急電鉄,大井町線,北千束,東京都大田区,島式1面2線,1・2番線,可動式ホーム柵,2019/10/01 00:00,,,
24,東急電鉄,大井町線,下神明,東京都品川区,相対式2面2線,1・2番線,可動式ホーム柵,2019/12/01 00:00,,,
25,東急電鉄,大井町線,戸越公園,東京都品川区,相対式2面2線,1・2番線,可動式ホーム柵,2020/03/01 00:00,,,
26,東急電鉄,大井町線,等々力,東京都世田谷区,島式1面2線,1・2番線,可動式ホーム柵,2020/03/01 00:00,,,
27,東急電鉄,東横線,渋谷,東京都渋谷区,島式2面4線,3・4・5･6番線,可動式ホーム柵,2008/06/01 00:00,○,東京メトロ副都心線と共用,◎全駅
28,東急電鉄,東横線,中目黒,東京都目黒区,島式2面4線,1・4番線,可動式ホーム柵,2013/12/01 00:00,○,2・3番線は東京メトロ日比谷線,
29,東急電鉄,東横線,学芸大学,東京都目黒区,島式1面2線,1・2番線,可動式ホーム柵,2014/03/01 00:00,,,
30,東急電鉄,東横線,代官山,東京都渋谷区,相対式2面2線,1・2番線,可動式ホーム柵,2015/02/01 00:00,,,
,東急電鉄,東横線,武蔵小杉,神奈川県川崎市,島式2面4線,1・4番線,可動式ホーム柵,2015/03/01 00:00,○,（参照）【東急目黒線】,
31,東急電鉄,東横線,横浜,神奈川県横浜市,島式1面2線,1・2番線,可動式ホーム柵,2015/03/01 00:00,○,横浜高速鉄道みなとみらい線と共用,
,東急電鉄,東横線,新丸子,川崎市中原区,島式2面4線,1・4番線,可動式ホーム柵,2015/12/01 00:00,,（参照）【東急目黒線】,
,東急電鉄,東横線,元住吉,神奈川県川崎市,島式2面6線,2・5番線,可動式ホーム柵,2016/02/01 00:00,,（参照）【東急目黒線】,
32,東急電鉄,東横線,菊名,神奈川県横浜市,島式2面4線,3・4・5・6番線,可動式ホーム柵,2016/03/01 00:00,○,,
33,東急電鉄,東横線,大倉山,神奈川県横浜市,相対式2面2線,1・2番線,可動式ホーム柵,2016/05/01 00:00,,,
34,東急電鉄,東横線,都立大学,東京都目黒区,相対式2面2線,1・2番線,可動式ホーム柵,2016/06/01 00:00,,,
35,東急電鉄,東横線,反町,神奈川県横浜市,島式1面2線,1・2番線,可動式ホーム柵,2016/11/01 00:00,,,
,東急電鉄,東横線,田園調布,東京都大田区,島式2面4線,1・4番線,可動式ホーム柵,2016/12/01 00:00,,（参照）【東急目黒線】,
,東急電鉄,東横線,日吉,神奈川県横浜市,島式2面4線,1・4番線,可動式ホーム柵,2017/02/01 00:00,○,（参照）【東急目黒線】,
36,東急電鉄,東横線,祐天寺,東京都目黒区,相対式2面3線,1・3番線,可動式ホーム柵,2017/06/01 00:00,,2番線ホームなし（通過線）,
37,東急電鉄,東横線,綱島,神奈川県横浜市,相対式2面2線,1・2番線,可動式ホーム柵,2018/03/01 00:00,○,,
38,東急電鉄,東横線,自由が丘,東京都目黒区,島式2面4線,3・4・5・6番線,可動式ホーム柵,2018/03/01 00:00,○,,
39,東急電鉄,東横線,妙蓮寺,神奈川県横浜市,相対式2面2線,1・2番線,可動式ホーム柵,2018/03/01 00:00,,,
40,東急電鉄,東横線,東白楽,神奈川県横浜市,相対式2面2線,1・2番線,可動式ホーム柵,2019/06/01 00:00,,,
,東急電鉄,東横線,多摩川,東京都大田区,島式2面4線,1・4番線,可動式ホーム柵,2019/10/01 00:00,,（参照）【東急目黒線】,
41,東急電鉄,東横線,白楽,神奈川県横浜市,相対式2面2線,1・2番線,可動式ホーム柵,2020/02/01 00:00,,,
