,駅数,事業者名,路線名,駅名,所在地,ホームの形状,設置ホーム（番線）,ホームドアの種別,設置年月,備考,Unnamed: 10,当該路線の設置状況,path
90,9.0,JR西日本,ＪＲ東西線,大阪天満宮,大阪府大阪市,島式1面2線,1・2番線,可動式ホーム柵,2012/03/01 00:00,,,,/home/zaiying/A-Pastani/data/JR西日本/西日本旅客鉄道JR東西線_addRailname.geojson
91,10.0,JR西日本,ＪＲ東西線,京橋,大阪府大阪市,相対式4面4線,1･2・3・4番線,可動式ホーム柵,2016/03/01 00:00,○,3番線はR1.10設置、4番線はR2.3設置,,/home/zaiying/A-Pastani/data/JR西日本/西日本旅客鉄道JR東西線_addRailname.geojson
92,11.0,JR西日本,東海道本線,六甲道,兵庫県神戸市,島式2面4線,3番線,昇降式ホーム柵,2015/04/01 00:00,,1･2･4番線は未設置,△一部の駅,/home/zaiying/A-Pastani/data/JR西日本/西日本旅客鉄道東海道線_addRailname.geojson
93,12.0,JR西日本,東海道本線,高槻,大阪府高槻市,島式2面4線、相対式2面2線,1・2･5･6番線,昇降式ホーム柵,2016/03/01 00:00,○,2･5番線はH31.3可動式を設置3･4番線は未設置,,/home/zaiying/A-Pastani/data/JR西日本/西日本旅客鉄道東海道線_addRailname.geojson
94,13.0,JR西日本,東海道本線,大阪,大阪府大阪市,島式5面10線、相対式1面1線,1・2・5･6・7･8番線,可動式ホーム柵,2017/05/01 00:00,○,5･8番線はH31.3昇降式を設置1番線はR1.12可動式を設置2番線はR2.3可動式を設置3･4･9・10･11番線は未設置,,/home/zaiying/A-Pastani/data/JR西日本/西日本旅客鉄道東海道線_addRailname.geojson
95,14.0,JR西日本,東海道本線,ＪＲ総持寺,大阪府茨木市,島式2面2線,1・2番線,可動式ホーム柵,2018/03/01 00:00,,,,/home/zaiying/A-Pastani/data/JR西日本/西日本旅客鉄道東海道線_addRailname.geojson
96,15.0,JR西日本,東海道本線,三ノ宮,兵庫県神戸市,島式2面4線,2・3番線,昇降式ホーム柵,2019/11/01 00:00,○,1・4番線は未設置,,/home/zaiying/A-Pastani/data/JR西日本/西日本旅客鉄道東海道線_addRailname.geojson
97,16.0,JR西日本,山陽本線,明石,兵庫県明石市,島式2面4線,3・4番線,昇降式ホーム柵,2020/03/01 00:00,○,1・2番線は未設置,△一部の駅,/home/zaiying/A-Pastani/data/JR西日本/西日本旅客鉄道山陽線_addRailname.geojson
98,17.0,JR西日本,山陰本線,梅小路京都西,京都府京都市,相対式2面2線,1・2番線,可動式ホーム柵,2019/03/01 00:00,,,,/home/zaiying/A-Pastani/data/JR西日本/西日本旅客鉄道山陽線_addRailname.geojson
99,1.0,JR九州,九州新幹線,新鳥栖,佐賀県鳥栖市,島式2面4線,11・12・13・14番線,可動式ホーム柵,2011/03/01 00:00,,在来線ホーム（1・2番線）は未設置,△一部の駅,/home/zaiying/A-Pastani/data/JR九州/九州旅客鉄道九州新幹線_addRailname.geojson
